PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,LogGI50_M,LogGI50_u,LogGI50_V,IndnGI50,StddevGI50,LogTGI_M,LogTGI_u,LogTGI_V,IndnTGI,StddevTGI
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT
RESULT_DESCR,,,,,,,,"Log of the GI50 result, unit: M.","Log of the GI50 result, unit: ug/mL.","Log of the GI50 result, unit: Volumetric.",Number of tests averaged for the GI50 value for this NSC and cell line.,Standard Deviation of the Log10 of the GI50 result averaged across all tests for this NSC and cell line.,"Log of the TGI result, unit: M.","Log of the TGI result, unit: ug/mL.","Log of the TGI result, unit: Volumetric.",Number of tests averaged for the TGI value for this NSC and cell line.,Standard Deviation of the Log10 of the TGI result averaged across all tests for this NSC and cell line.
38355,525327,394032,COC1=CC=C(C=C1)N2CC(=O)N(C2=S)C(=O)COC3=CC=C(C=C3)OCC(=O)N4C(=O)CN(C4=S)C5=CC=C(C=C5)OC,Inactive,1,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697150&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0555,,,1,0,-4,,,1,0
38356,525328,394033,C1C(=O)N(C(=S)N(C1=O)C(=O)COC2=CC=C(C=C2)OCC(=O)N3C(=O)CC(=O)N(C3=S)C4=CC=CC=C4)C5=CC=CC=C5,Inactive,3,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697151&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.1912,,,1,0,-4,,,1,0
38357,525329,394034,C1C(=O)N(C(=S)N(C1=O)C(=O)COC2=CC=C(C=C2)OCC(=O)N3C(=O)CC(=O)N(C3=S)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697152&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5876,,,1,0,-4,,,1,0
38358,525330,394035,COC1=CC=C(C=C1)N2C(=O)CC(=O)N(C2=S)C(=O)COC3=CC=C(C=C3)OCC(=O)N4C(=O)CC(=O)N(C4=S)C5=CC=C(C=C5)OC,Inactive,7,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697153&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.4187,,,1,0,-4,,,1,0
38359,525331,394036,C1=CC=C(C=C1)OCC2=NN=C(O2)CCCCCCCCC3=NN=C(O3)COC4=CC=CC=C4,Inactive,3,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697154&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.1805,,,1,0,-4,,,1,0
38360,525332,394037,C1=CC(=CC=C1OCC2=NN=C(O2)CCCCCCCCC3=NN=C(O3)COC4=CC=C(C=C4)Cl)Cl,Inactive,2,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697155&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.1005,,,1,0,-4,,,1,0
38361,525333,394038,C1=CC(=CC=C1[N+](=O)[O-])OCC2=NN=C(O2)CCCCCCCCC3=NN=C(O3)COC4=CC=C(C=C4)[N+](=O)[O-],Inactive,1,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697156&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0891,,,1,0,-4,,,1,0
38362,525334,394039,C1=CC=C2C(=C1)C=CC(=C2O)OCC3=NN=C(O3)CCCCCCCCC4=NN=C(O4)COC5=C(C6=CC=CC=C6C=C5)O,Inactive,4,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697157&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.2128,,,1,0,-4,,,1,0
38363,525335,394040,C1=CC=C2C(=C1)C=CC(=C2OCC3=NN=C(O3)CCCCCCCCC4=NN=C(O4)COC5=C(C=CC6=CC=CC=C65)O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697158&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38364,525336,394041,C1=CC(=C(C=C1Cl)Cl)OCC2=NN=C(O2)CCCCCCCCC3=NN=C(O3)COC4=C(C=C(C=C4)Cl)Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697159&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38365,525337,394042,C1=CC=C(C=C1)OCC2=NN=C(N2N)CCCCCCCCC3=NN=C(N3N)COC4=CC=CC=C4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697160&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38366,525338,394043,C1=CC(=CC=C1OCC2=NN=C(N2N)CCCCCCCCC3=NN=C(N3N)COC4=CC=C(C=C4)Cl)Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697161&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38367,525339,394044,C1=CC=C2C(=C1)C=CC(=C2O)OCC3=NN=C(N3N)CCCCCCCCC4=NN=C(N4N)COC5=C(C6=CC=CC=C6C=C5)O,Inactive,13,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697162&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.7957,,,1,0,-4.3814,,,1,0
38368,525340,394045,C1=CC=C2C(=C1)C=CC(=C2OCC3=NN=C(N3N)CCCCCCCCC4=NN=C(N4N)COC5=C(C=CC6=CC=CC=C65)O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697163&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38369,525341,394046,C1=CC(=C(C=C1Cl)Cl)OCC2=NN=C(N2N)CCCCCCCCC3=NN=C(N3N)COC4=C(C=C(C=C4)Cl)Cl,Inactive,7,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697164&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.4197,,,1,0,-4,,,1,0
38370,525342,394047,C1=CC=C(C=C1)NN2C(=NN=C2COC3=CC=CC=C3)CCCCCCCCC4=NN=C(N4NC5=CC=CC=C5)COC6=CC=CC=C6,Inactive,7,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697165&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.4298,,,4,0.2658,-4,,,4,0
38371,525342,394047,C1=CC=C(C=C1)NN2C(=NN=C2COC3=CC=CC=C3)CCCCCCCCC4=NN=C(N4NC5=CC=CC=C5)COC6=CC=CC=C6,Inactive,2,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697165&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.1146,,,1,0,-3.5229,,,1,0
38372,525343,394048,C1=CC=C(C=C1)NN2C(=NN=C2COC3=CC=C(C=C3)Cl)CCCCCCCCC4=NN=C(N4NC5=CC=CC=C5)COC6=CC=C(C=C6)Cl,Inactive,12,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697166&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.7393,,,2,0.2049,-4,,,2,0
38373,525344,394049,C1=CC=C(C=C1)NN2C(=NN=C2COC3=C(C4=CC=CC=C4C=C3)O)CCCCCCCCC5=NN=C(N5NC6=CC=CC=C6)COC7=C(C8=CC=CC=C8C=C7)O,Inactive,18,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697167&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.0607,,,2,0.1779,-4.454,,,2,0.1387
38374,525345,394050,C1=CC=C(C=C1)NN2C(=NN=C2COC3=C(C=CC4=CC=CC=C43)O)CCCCCCCCC5=NN=C(N5NC6=CC=CC=C6)COC7=C(C=CC8=CC=CC=C87)O,Inactive,17,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697168&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.0317,,,2,0.4857,-4.1237,,,2,0.175
38375,525346,394051,C1=CC=C(C=C1)NN2C(=NN=C2COC3=C(C=C(C=C3)Cl)Cl)CCCCCCCCC4=NN=C(N4NC5=CC=CC=C5)COC6=C(C=C(C=C6)Cl)Cl,Inactive,14,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697169&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8224,,,2,0.005,-4.2923,,,2,0.0225
38376,525347,394052,C1=CC=C(C=C1)NC2=NN=C(O2)CCCCCCCCC3=NN=C(O3)NC4=CC=CC=C4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697170&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38377,525348,394053,C1=CC(=CC=C1NC2=NN=C(O2)CCCCCCCCC3=NN=C(O3)NC4=CC=C(C=C4)Cl)Cl,Inactive,9,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697171&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5585,,,1,0,-4.0427,,,1,0
38378,525349,394054,COC1=CC=C(C=C1)NC2=NN=C(O2)CCCCCCCCC3=NN=C(O3)NC4=CC=C(C=C4)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697172&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38379,525350,2729454,C(CCCCC1=NNC(=S)O1)CCCC2=NNC(=S)O2,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697173&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38380,525351,394056,C1=CC(=C(C=C1O)SC2=NN=C(O2)CCCCCCCCC3=NN=C(O3)SC4=C(C=CC(=C4)O)O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697174&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38381,525352,394057,C(CCCCC1=NN=C(N1N)NN)CCCC2=NN=C(N2N)NN,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697175&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0105,,,1,0,-4,,,1,0
38382,525353,394058,C1=CC=C(C=C1)NCN2C(=S)OC(=N2)CCCCCCCCC3=NN(C(=S)O3)CNC4=CC=CC=C4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697176&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38383,525354,394059,C1=CC(=CC=C1NCN2C(=S)OC(=N2)CCCCCCCCC3=NN(C(=S)O3)CNC4=CC=C(C=C4)Cl)Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697177&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0031,,,1,0,-4,,,1,0
38384,525355,394060,COC1=CC=C(C=C1)NCN2C(=S)OC(=N2)CCCCCCCCC3=NN(C(=S)O3)CNC4=CC=C(C=C4)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697178&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38385,525356,394061,C1=CC=C2C(=C1)C=CC(=C2O)NCN3C(=S)OC(=N3)CCCCCCCCC4=NN(C(=S)O4)CNC5=C(C6=CC=CC=C6C=C5)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697179&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0108,,,1,0,-4,,,1,0
38386,525357,394062,C1=CC=C2C(=C1)C=CC(=C2NCN3C(=S)OC(=N3)CCCCCCCCC4=NN(C(=S)O4)CNC5=C(C=CC6=CC=CC=C65)O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697180&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38387,525358,394063,CCN(CC)C1=NN=C(O1)CCCCCCCCC2=NN=C(O2)N(CC)CC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697181&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38388,525359,394064,C1CCN(CC1)C2=NN=C(O2)CCCCCCCCC3=NN=C(O3)N4CCCCC4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697182&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38389,525360,394065,C1COCCN1C2=NN=C(O2)CCCCCCCCC3=NN=C(O3)N4CCOCC4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697183&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38390,525361,394066,C(CCCCC1=NN=C(O1)SCC(=O)NN)CCCC2=NN=C(O2)SCC(=O)NN,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697184&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38391,525362,394067,C(CCCCC1=NN=C(O1)SCC(=O)O)CCCC2=NN=C(O2)SCC(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697185&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38392,525363,394068,CNC1=NN=C(O1)CCCCCCCCC2=NN=C(O2)NC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697186&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38393,525364,394069,C1=CC=C(C=C1)C2=NN=C(O2)CCCCCCCCC3=NN=C(O3)C4=CC=CC=C4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697187&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38394,525365,394070,COC1=CC=C(C=C1)C2=NN=C(O2)CCCCCCCCC3=NN=C(O3)C4=CC=C(C=C4)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697188&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38395,525366,394071,C1=CC=C2C(=C1)C=CC(=C2C3=NN=C(O3)CCCCCCCCC4=NN=C(O4)C5=C(C=CC6=CC=CC=C65)O)O,Inactive,32,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697189&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.9151,,,1,0,-5.1989,,,1,0
38396,525366,394071,C1=CC=C2C(=C1)C=CC(=C2C3=NN=C(O3)CCCCCCCCC4=NN=C(O4)C5=C(C=CC6=CC=CC=C65)O)O,Inactive,21,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697189&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.2826,,,2,0.0429,-4.206,,,2,0.2913
38397,525367,394072,C=CC1=NC2=NN=C(N2N1)CCCCCCCCC3=NN=C4N3NC(=N4)C=C,Inactive,3,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697190&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.1692,,,1,0,-4,,,1,0
38398,525368,394073,CC1=NC2=NN=C(N2N1)CCCCCCCCC3=NN=C4N3NC(=N4)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697191&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38399,525369,5470052,C1=CC=C2C(=C(C=CC2=C1)O)C3S/C(=C/C4=CC(=C(C=C4)O)O)/C(=O)N3NC(=O)CCCCCCCCC(=O)NN5C(=O)/C(=C\C6=CC(=C(C=C6)O)O)/SC5C7=C(C=CC8=CC=CC=C78)O,Inactive,17,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697192&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.0292,,,2,0.0438,-4.022,,,2,0.0031
38400,525370,5470053,C1=CC(=CC=C1C2S/C(=C/C3=CC(=C(C=C3)O)O)/C(=O)N2NC(=O)CCCCCCCCC(=O)NN4C(=O)/C(=C\C5=CC(=C(C=C5)O)O)/SC4C6=CC=C(C=C6)Cl)Cl,Inactive,14,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697193&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8106,,,2,0.0306,-4.3792,,,2,0.0251
38401,525371,5470054,COC1=C(C=C(C=C1)/C=C\2/SC(N(C2=O)NC(=O)CCCCCCCCC(=O)NN3C(=O)/C(=C\C4=CC(=C(C=C4)OC)OC)/SC3C5=C(C=CC6=CC=CC=C56)O)C7=C(C=CC8=CC=CC=C78)O)OC,Inactive,28,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697194&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.6542,,,2,0.0705,-4.1252,,,2,0.177
38402,525372,5470055,COC1=C(C=C(C=C1)/C=C\2/SC(N(C2=O)NC(=O)CCCCCCCCC(=O)NN3C(=O)/C(=C\C4=CC(=C(C=C4)OC)OC)/SC3C5=CC=C(C=C5)Cl)C6=CC=C(C=C6)Cl)OC,Inactive,12,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697195&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.6905,,,1,0,-4.3272,,,1,0
38403,525373,5470056,COC1=C(C=C(C=C1)/C=C\2/SC(N(C2=O)NC(=O)CCCCCCCCC(=O)NN3C(=O)/C(=C\C4=CC(=C(C=C4)OC)OC)/SC3C5=CC=CC=C5)C6=CC=CC=C6)OC,Inactive,7,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697196&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.4162,,,1,0,-4,,,1,0
38404,525375,394080,COC(=NCCC1=CCCCC1)OC,Inactive,4,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697218&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.2317,,,1,0,-4,,,1,0
38405,525376,394081,CC(=NCCC1=CCCCC1)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697219&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38406,525377,394082,COCN(CCC1=CCCCC1)C(=O)OC,Inactive,5,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697220&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.2867,,,1,0,-4,,,1,0
38407,525378,394083,C1CCC(=CC1)CCN(C(CC2=CC=CC=C2Br)C#N)C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,9,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697221&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5562,,,1,0,-4,,,1,0
38408,525379,394084,C1CCC(=CC1)CCN(C(CC2=CC=CC=C2)C#N)C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,4,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697222&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.2207,,,1,0,-4,,,1,0
38409,525380,394085,C1CCC(=CC1)CCN(CC2=CC=CC=C2)C(CC3=CC=CC=C3)C#N,Inactive,4,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697223&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.2464,,,1,0,-4,,,1,0
38410,525381,5470057,C/C=C\C(CC(=O)NCCC1=CNC2=CC=CC=C21)CC(=O)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697224&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38411,525382,5470058,C/C=C\C(CC(=O)NCC(=O)C1=CNC2=CC=CC=C21)CC(=O)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697225&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38412,525383,394088,CC(C)(C)OC(=O)NCCC1CN(C2=CC=CC=C12)C(=O)C3=CC=CC=C3,Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697226&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5803,,,1,0,-4.0517,,,1,0
38413,525384,5470059,C/C=C\C(CC(=O)NCCC1CN(C2=CC=CC=C12)C(=O)C3=CC=CC=C3)CC(=O)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697227&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38414,525385,394090,C[C@H]1[C@H]2CN(C(=O)C[C@@H]2CC(=O)O1)CCC3CN(C4=CC=CC=C34)C(=O)C5=CC=CC=C5,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697228&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38415,525386,394091,CC(C)(C)OC(=O)NCCC1CNC2=CC=CC=C12,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697229&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38416,525387,394092,C[C@H]1[C@H]2CN(C(=O)C[C@@H]2CC(=O)O1)CCC3CN(C4=CC=CC=C34)C(=O)OCC5=CC=CC=C5,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697230&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38417,525388,5470060,C/C=C\C(CC(=O)NCCC1=CN(C2=CC=CC=C21)C(=O)OCC3=CC=CC=C3)CC(=O)OC,Inactive,1,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697231&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0483,,,1,0,-4,,,1,0
38418,525389,394094,C1C(C2=CC=CC=C2N1C(=O)OCC3=CC=CC=C3)CCNC(=O)OCC4=CC=CC=C4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697232&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38419,525390,5470061,C/C=C\C(CC(=O)NCCC1CN(C2=CC=CC=C12)C(=O)OCC3=CC=CC=C3)CC(=O)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697233&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38420,525391,394096,CC1=CC=C(C=C1)S(=O)(=O)N2CC(C3=CC=CC=C32)CCN,Inactive,20,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697234&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.1951,,,3,0.5285,-4.2791,,,3,0.4834
38421,525392,394097,C1C(C2=CC=CC=C2N1C(=O)OCC3=CC=CC=C3)CCN.Cl,Inactive,14,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697235&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8229,,,2,0.175,-4.379,,,2,0.3468
38422,525393,5470062,C/C=C\C(CC(=O)NCCC1CN(C2=CC=CC=C12)S(=O)(=O)C3=CC=C(C=C3)C)CC(=O)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697236&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38423,525394,394100,C[C@H]1[C@H]2CN(C(=O)C[C@@H]2CC(=O)O1)CCC3=CN(C4=CC=CC=C43)S(=O)(=O)C(F)(F)F,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697237&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38424,525395,394101,C1C(C2=CC=CC=C2N1)CCN=C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697238&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38425,525396,5470063,C/C=C\C(CC(=O)NCCC1CN(C2=CC=CC=C12)S(=O)(=O)C(F)(F)F)CC(=O)OC,Inactive,8,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697239&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.4595,,,1,0,-4,,,1,0
38426,525397,5470064,C/C=C\C(CC(=O)NCCC1CN(C2=CC=CC=C12)S(=O)(=O)C(F)(F)F)CC(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697240&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
38427,525398,394104,COC1=CC=C(C=C1)CN(CCC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)OC,Inactive,25,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697241&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.4819,,,2,0.5577,-4.9782,,,2,0.7317
38428,525399,394105,C[C@H]1[C@H]2CN(C(=O)C[C@@H]2CC(=O)O1)CC3=CC=C(C=C3)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=697242&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
